Well,Time,Observed,Simulated
699-95-45,2019-10-16,117.5216,117.7172
699-95-45,2019-11-15,117.481,117.6748
699-95-45,2019-12-16,117.4699,117.6441
699-95-45,2020-01-16,117.6534,117.6334
699-95-45,2020-02-14,117.6604,117.6239
699-95-45,2020-03-16,117.6265,117.5919
699-95-45,2020-04-15,117.5992,117.556
699-95-45,2020-05-16,117.6065,117.5519
699-95-45,2020-06-15,117.7366,117.6518
699-95-45,2020-07-16,117.8827,117.7805
699-95-45,2020-08-16,117.8804,117.7894
699-95-45,2020-09-15,117.8265,117.7583
699-95-45,2020-10-16,117.8341,117.7588
699-95-45,2020-11-15,117.8119,117.7627
699-95-45,2020-12-16,117.7954,117.7615
699-96-43,2014-03-16,116.84,116.4879
699-96-43,2014-05-16,116.807,116.5896
699-96-43,2014-10-16,116.997,116.8436
699-96-43,2014-11-15,116.923,116.7746
699-96-43,2015-03-16,116.843,116.6255
699-96-43,2015-05-16,116.891,116.6003
699-96-43,2015-10-16,116.8605,116.4411
699-96-43,2016-03-16,116.944,116.4184
699-96-43,2016-05-16,116.964,116.5129
699-96-43,2016-10-16,116.905,116.4995
699-96-43,2017-03-16,116.514,116.2541
699-96-43,2017-05-16,116.791,116.4932
699-96-43,2017-10-16,117.222,116.7524
699-96-43,2018-03-16,117.157,116.5878
699-96-43,2019-03-16,117.085,116.5449
699-96-43,2020-03-16,116.82,116.3579
699-96-44,2014-05-16,116.767,116.5672
699-96-44,2014-10-16,116.954,116.8191
699-96-44,2015-05-16,116.848,116.5693
699-96-44,2015-10-16,116.904,116.3998
699-96-44,2016-05-16,116.844,116.4708
699-96-44,2016-10-16,116.865,116.4548
699-96-44,2017-02-14,116.1693,116.2233
699-96-44,2017-03-16,116.4667,116.2201
699-96-44,2017-04-15,116.534,116.287
699-96-44,2017-05-16,116.7659,116.4552
699-96-44,2017-06-15,117.0756,116.645
699-96-44,2017-07-16,117.3387,116.7717
699-96-44,2017-08-16,117.3742,116.8037
699-96-44,2017-09-15,117.2345,116.7726
699-96-44,2017-10-16,117.2225,116.7069
699-96-44,2017-11-15,117.2564,116.6413
699-96-44,2017-12-16,117.1752,116.5777
699-96-44,2018-01-16,117.1231,116.534
699-96-44,2018-02-14,117.0901,116.5258
699-96-44,2018-03-16,117.1219,116.5392
699-96-44,2018-04-15,117.1396,116.5598
