NAME,EVENT,TYPE,VAL
299-E24-25,2022-02-17 11:12:00,MAN,121.46
299-E27-137B,2022-02-17 11:28:00,MAN,121.5
299-E28-17,2022-02-17 11:39:00,MAN,121.485
299-E28-18,2022-02-17 11:50:00,MAN,121.508
299-E28-27,2022-02-17 11:59:00,MAN,121.501
299-E28-1,2022-02-17 12:07:00,MAN,121.508
299-E27-18,2022-02-17 12:14:00,MAN,121.508
299-E27-17,2022-02-17 12:21:00,MAN,121.50200000000001
299-E27-8,2022-02-17 12:28:00,MAN,121.50299999999999
299-E18-2,2022-02-17 12:41:00,MAN,121.536
699-40-1,2022-02-22 08:07:00,MAN,111.135
299-E27-23,2022-02-22 08:22:00,MAN,121.46
299-E27-14,2022-02-22 08:30:00,MAN,121.465
299-E27-21,2022-02-22 08:50:00,MAN,121.454
699-44-64,2022-02-22 08:58:00,MAN,122.82
299-E26-14,2022-02-22 09:04:00,MAN,121.605
699-95-48B,2022-02-22 09:13:00,MAN,117.618
299-E26-77,2022-02-22 09:13:00,MAN,121.583
299-E26-79,2022-02-22 09:23:00,MAN,121.545
299-E26-15,2022-02-22 09:31:00,MAN,121.524
699-41-1A,2022-02-22 09:37:00,MAN,110.804
299-E26-10,2022-02-22 09:42:00,MAN,121.523
299-E33-339,2022-02-22 09:54:00,MAN,121.479
699-45-42,2022-02-22 09:56:00,MAN,122.806
299-E33-49,2022-02-22 10:03:00,MAN,121.494
299-E33-334,2022-02-22 10:09:00,MAN,121.492
299-E33-42,2022-02-22 10:14:00,MAN,121.48200000000001
699-43-3,2022-02-22 10:19:00,MAN,110.279
299-E33-31,2022-02-22 10:21:00,MAN,121.476
299-E33-38,2022-02-22 10:35:00,MAN,121.49600000000001
299-E33-41,2022-02-22 10:42:00,MAN,121.48700000000001
299-E33-14,2022-02-22 10:52:00,MAN,121.48
699-95-48C,2022-02-22 10:54:00,MAN,117.59700000000001
699-46-4,2022-02-22 11:00:00,MAN,110.21799999999999
299-E33-37,2022-02-22 11:15:00,MAN,121.48700000000001
699-40-33A,2022-02-22 11:22:00,MAN,123.473
