ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-H1-45_E_HX,577240.96,153062.41,177,550,116.050472,111.472376,84,4.578096,0.2604710844729965,1.5500030517570025,1.549995422364006,1.2176264414059972,,,,,,0.05689507,0.33856936,0.3385677,0.26596787,,,,,,2,4.0,199-H1-45,E,HX,Unconfined
199-H1-46_E_HX,576986.9,153456.95,138,524,119.582224,111.946984,85,7.63524,2.8622227792969994,1.0200042724609943,1.0199966430660083,1.0100021362309946,1.0699996948240056,0.6530144741209938,,,,0.37487005,0.13359165,0.13359065,0.13228165,0.14013963,0.08552638,,,,1,4.0,199-H1-46,E,HX,Unconfined
199-H1-47_E_HX,577185.49,153309.63,153,544,118.93516,112.83916,86,6.096,2.585161525879002,1.1299972534179972,1.1300048828120026,1.1199951171879974,0.1308412207029903,,,,,0.42407505,0.185367,0.18536826,0.18372623,0.02146345,,,,,1,4.0,199-H1-47,E,HX,Unconfined
199-H1-48_E_HX,577185.11,153237.89,160,544,119.171328,113.075328,87,6.096,2.7913307465820054,1.07999420166,1.0699996948239914,1.080001831055,0.0746735258790067,,,,,0.45789546,0.1771644,0.17552488,0.17716565,0.01224959,,,,,1,4.0,199-H1-48,E,HX,Unconfined
199-H1-49_E_HX,577249.67,153144.38,169,550,119.125384,111.505384,88,7.62,3.115381863769997,1.4100036621090055,1.409996032715,1.42000579834,0.2646126430659876,,,,,0.40884276,0.18503985,0.18503885,0.18635247,0.03472607,,,,,1,4.0,199-H1-49,E,HX,Unconfined
199-H1-5_E_DX,574850.72,153090.3,174,311,119.091816,111.46572,89,7.626096,2.1718178310549945,1.930000305175,1.9300003051759944,1.5942775585940012,,,,,,0.28478763,0.25307842,0.25307842,0.20905553,,,,,,1,4.0,199-H1-5,E,DX,Unconfined
199-H1-5_I_DX,574850.72,153090.3,174,311,119.091816,111.46572,90,7.626096,2.1718178310549945,1.930000305175,1.9300003051759944,1.5942775585940012,,,,,,0.28478763,0.25307842,0.25307842,0.20905553,,,,,,1,4.0,199-H1-5,I,DX,Unconfined
199-H1-6_E_HX,576037.81,153745.74,109,429,117.552872,114.504872,91,3.048,0.1628726103519966,1.029998779295994,1.0400009155279974,0.8151276948239996,,,,,,0.0534359,0.33792611,0.34120765,0.26743035,,,,,,3,4.0,199-H1-6,E,HX,Unconfined
199-H1-6_I_HX,576037.81,153745.74,109,429,117.552872,114.504872,92,3.048,0.1628726103519966,1.029998779295994,1.0400009155279974,0.8151276948239996,,,,,,0.0534359,0.33792611,0.34120765,0.26743035,,,,,,3,4.0,199-H1-6,I,HX,Unconfined
199-H3-21_E_HX,578127.91,152630.66,220,638,116.50364,111.93164,93,4.572,0.7236412207030014,1.6500015258790055,1.6499938964839913,0.5483633569340043,,,,,,0.15827673,0.36089272,0.36089105,0.11993949,,,,,,2,4.0,199-H3-21,E,HX,Unconfined
199-H3-22_E_HX,577897.07,152847.99,199,615,105.259,96.115,94,9.144,,,,,,,,,9.104001220702996,,,,,,,,,0.99562568,9,9.0,199-H3-22,E,HX,RUM
199-H3-25_E_HX,577410.36,152978.49,186,567,117.5192,111.4202,95,6.099,,1.779998779297003,1.7700042724599996,1.069797863770006,,,,,,,0.29185092,0.29021221,0.17540545,,,,,,2,4.0,199-H3-25,E,HX,Unconfined
199-H3-25_I_HX,577410.36,152978.49,186,567,117.5192,111.4202,96,6.099,1.4791990844729952,1.779998779297003,1.7700042724599996,1.069797863770006,,,,,,0.24253141,0.29185092,0.29021221,0.17540545,,,,,,2,4.0,199-H3-25,I,HX,Unconfined
199-H3-26_E_HX,577440.83,152846.5,199,570,116.6472,112.0691,97,4.5781,0.3372024414059922,1.6299972534180114,1.6200027465819886,0.990897558594,,,,,,0.07365554,0.3560423,0.35385919,0.21644297,,,,,,2,4.0,199-H3-26,E,HX,Unconfined
