SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-12A,2015-08-10 00:00:00,3.75
199-H4-12A,2015-12-03 00:00:00,3.35
199-H4-12A,2016-02-03 00:00:00,1.55
199-H4-12A,2016-05-10 00:00:00,1.85
199-H4-12A,2016-08-05 00:00:00,1.5
199-H4-12A,2016-11-15 00:00:00,2.3
199-H4-12A,2017-02-08 00:00:00,1.5
199-H4-12A,2017-05-03 00:00:00,1.5
199-H4-12A,2017-11-03 00:00:00,1.55
199-H4-12A,2018-02-08 00:00:00,2.1
199-H4-12A,2018-05-02 00:00:00,1.65
199-H4-12A,2018-10-31 00:00:00,1.5
199-H4-12A,2019-02-27 00:00:00,2.5
199-H4-15A,2015-02-24 00:00:00,6.85
199-H4-15A,2015-06-10 00:00:00,15.9
199-H4-15A,2015-08-12 00:00:00,12.5
199-H4-15A,2015-11-11 00:00:00,6.35
199-H4-15A,2016-02-24 00:00:00,4.85
199-H4-15A,2016-05-11 00:00:00,2.5
199-H4-15A,2016-08-04 00:00:00,3.55
199-H4-15A,2016-11-10 00:00:00,2.55
199-H4-15A,2017-02-02 00:00:00,2.9
199-H4-15A,2017-05-03 00:00:00,1.5
199-H4-15A,2017-09-28 00:00:00,1.9
199-H4-15A,2017-11-14 00:00:00,2.9000000000000004
199-H4-15A,2018-02-06 00:00:00,1.5
199-H4-15A,2018-05-17 00:00:00,1.5
199-H4-15A,2018-08-01 00:00:00,1.9
199-H4-15A,2018-10-22 00:00:00,2.85
199-H4-15A,2019-01-29 00:00:00,1.6
199-H4-15A,2020-08-11 00:00:00,2.29
199-H4-64,2014-12-16 00:00:00,7.3
199-H4-64,2015-03-31 00:00:00,3.8
199-H4-64,2015-06-10 00:00:00,6.85
199-H4-64,2015-09-23 00:00:00,8.15
199-H4-64,2015-12-09 00:00:00,2.85
199-H4-64,2016-03-22 00:00:00,1.5
199-H4-64,2016-06-30 00:00:00,1.85
199-H4-64,2016-11-16 00:00:00,1.5
199-H4-64,2017-01-03 00:00:00,3.0
199-H4-64,2017-03-22 00:00:00,1.5
199-H4-64,2017-06-08 00:00:00,1.5
199-H4-64,2017-12-11 00:00:00,1.6
199-H4-64,2018-02-06 00:00:00,1.5
199-H4-64,2018-05-17 00:00:00,1.5
199-H4-64,2018-08-01 00:00:00,1.5
199-H4-65,2015-02-26 00:00:00,1.5
199-H4-65,2015-05-13 00:00:00,17.9
199-H4-65,2015-08-11 00:00:00,1.5
199-H4-65,2015-12-01 00:00:00,6.5
199-H4-65,2016-02-10 00:00:00,9.4
199-H4-65,2016-05-20 00:00:00,4.9
199-H4-65,2016-11-20 00:00:00,6.6
199-H4-65,2017-11-07 00:00:00,17.0
199-H4-84,2015-01-26 00:00:00,9.25
199-H4-84,2015-04-10 00:00:00,6.35
199-H4-84,2015-11-19 00:00:00,12.5
199-H4-84,2016-02-03 00:00:00,12.5
199-H4-84,2016-05-10 00:00:00,33.5
199-H4-84,2016-08-05 00:00:00,83.0
199-H4-84,2016-11-15 00:00:00,42.0
199-H4-84,2017-02-08 00:00:00,31.5
199-H4-84,2017-03-10 00:00:00,35.5
199-H4-84,2017-04-04 00:00:00,130.0
199-H4-84,2017-05-03 00:00:00,6.85
199-H4-84,2017-06-07 00:00:00,6.15
199-H4-84,2017-07-05 00:00:00,110.0
199-H4-84,2017-08-29 00:00:00,21.0
199-H4-84,2017-09-29 00:00:00,11.5
