,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
439,199-H4-86,2016-11-01,9.75,1065
440,199-H4-86,2016-12-01,10.0,1096
441,199-H4-86,2017-01-01,12.0,1127
442,199-H4-86,2017-02-01,8.375,1155
443,199-H4-86,2017-03-01,9.0,1186
444,199-H4-86,2017-04-01,12.0,1216
445,199-H4-86,2017-05-01,11.0,1247
446,199-H4-86,2017-06-01,14.0,1277
447,199-H4-86,2017-07-01,38.0,1308
448,199-H4-86,2017-08-01,48.0,1339
449,199-H4-86,2017-10-01,19.0,1400
450,199-H4-86,2017-11-01,11.5,1430
451,199-H4-86,2017-12-01,12.0,1461
452,199-H4-86,2018-01-01,11.0,1492
453,199-H4-86,2018-02-01,12.0,1520
454,199-H4-86,2018-03-01,7.0,1551
455,199-H4-86,2018-04-01,11.0,1581
456,199-H4-86,2018-05-01,8.725,1612
457,199-H4-86,2018-06-01,13.0,1642
458,199-H4-86,2018-07-01,14.0,1673
459,199-H4-86,2018-08-01,11.75,1704
460,199-H4-86,2018-09-01,16.0,1734
461,199-H4-86,2018-10-01,12.025,1765
462,199-H4-86,2018-11-01,13.0,1795
463,199-H4-86,2018-12-01,9.0,1826
464,199-H4-86,2019-01-01,6.675,1857
465,199-H4-86,2019-02-01,2.0,1885
466,199-H4-86,2019-03-01,7.0,1916
467,199-H4-86,2019-04-01,5.0,1946
468,199-H4-86,2019-05-01,5.63,1977
469,199-H4-86,2019-06-01,5.0,2007
470,199-H4-86,2019-07-01,5.0,2038
471,199-H4-86,2020-03-01,3.72,2282
472,199-H4-86,2020-07-01,1.0,2404
473,199-H4-86,2020-08-01,7.3599999999999985,2435
474,199-H4-86,2020-09-01,5.0,2465
475,199-H4-86,2020-10-01,7.775,2496
476,199-H4-86,2020-11-01,13.0,2526
477,199-H4-88,2016-06-01,8.3,912
478,199-H4-88,2016-07-01,11.0,943
479,199-H4-88,2016-10-01,1.9,1035
480,199-H4-88,2016-11-01,7.95,1065
481,199-H4-88,2016-12-01,9.0,1096
482,199-H4-88,2017-01-01,9.0,1127
483,199-H4-88,2017-02-01,4.7,1155
484,199-H4-88,2017-03-01,13.0,1186
485,199-H4-88,2017-04-01,8.85,1216
486,199-H4-88,2017-05-01,37.5,1247
487,199-H4-88,2017-06-01,32.5,1277
488,199-H4-88,2017-07-01,22.5,1308
489,199-H4-88,2017-08-01,19.5,1339
490,199-H4-88,2017-09-01,16.0,1369
491,199-H4-88,2017-10-01,13.0,1400
492,199-H4-88,2017-11-01,9.65,1430
493,199-H4-88,2017-12-01,9.4,1461
494,199-H4-88,2018-01-01,7.1999999999999975,1492
495,199-H4-88,2018-02-01,26.5,1520
496,199-H4-88,2018-03-01,5.85,1551
497,199-H4-88,2018-04-01,19.5,1581
498,199-H4-88,2018-05-01,33.0,1612
499,199-H4-88,2018-06-01,13.5,1642
500,199-H4-88,2018-07-01,16.0,1673
501,199-H4-88,2018-08-01,15.0,1704
502,199-H4-88,2018-09-01,12.0,1734
503,199-H4-88,2018-11-01,10.1,1795
504,199-H4-88,2019-03-01,10.4,1916
505,199-H4-88,2019-05-01,9.23,1977
506,199-H4-88,2019-08-01,7.83,2069
507,199-H4-88,2019-11-01,9.87,2160
508,199-H4-88,2020-02-01,5.21,2251
509,199-H4-88,2020-06-01,8.15,2373
510,199-H4-88,2020-08-01,4.56,2435
511,199-H4-88,2020-12-01,8.22,2557
512,199-H4-89,2016-11-01,1.5,1065
513,199-H4-89,2017-05-01,2.65,1247
514,199-H4-89,2017-11-01,1.5,1430
515,199-H4-89,2018-11-01,2.8,1795
516,199-H4-89,2019-03-01,2.125,1916
517,199-H4-89,2019-05-01,4.35,1977
518,199-H4-89,2019-08-01,3.42,2069
519,199-H4-89,2020-02-01,2.4,2251
520,199-H4-89,2020-06-01,1.82,2373
521,199-H4-89,2020-08-01,2.69,2435
