"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-N-185"|3/26/2014 11:19:00|118.753|"MAN"|571546.330|150237.980
"199-D5-154"|4/3/2014 8:32:00|118.291|"MAN"|573632.260|151831.740
"199-D5-153"|4/3/2014 10:02:00|117.709|"MAN"|573329.770|151992.820
"199-N-333"|4/3/2014 12:11:00|118.608|"MAN"|571597.440|150318.210
"199-N-92A"|4/3/2014 12:47:00|118.478|"MAN"|571647.420|150383.528
"199-D5-97"|4/4/2014 7:27:00|117.873|"MAN"|573250.110|151302.470
"199-D5-145"|4/4/2014 8:22:00|117.556|"MAN"|573215.620|151396.280
"199-D5-147"|4/4/2014 8:41:00|117.485|"MAN"|572993.130|151380.780
"199-D5-43"|4/4/2014 8:51:00|117.941|"MAN"|573179.976|151269.430
"199-D2-11"|4/4/2014 8:57:00|118.267|"MAN"|573328.160|151120.730
"199-D5-17"|4/4/2014 9:05:00|119.034|"MAN"|573730.520|151322.830
"199-D5-106"|4/4/2014 9:12:00|118.953|"MAN"|573503.740|151597.970
"199-D5-41"|4/4/2014 9:21:00|117.940|"MAN"|573358.160|151792.191
"199-D5-146"|4/4/2014 9:41:00|117.701|"MAN"|573219.790|151345.590
"199-D5-148"|4/4/2014 9:46:00|118.306|"MAN"|573361.480|151083.480
"199-D5-34"|4/4/2014 11:02:00|117.791|"MAN"|573240.420|151554.120
"199-D5-103"|4/4/2014 11:13:00|118.838|"MAN"|573505.870|151460.870
"199-D5-133"|4/4/2014 12:05:00|119.259|"MAN"|573731.550|151497.370
"199-H4-84"|4/4/2014 12:39:00|115.629|"MAN"|577902.580|152848.730
"199-D5-13"|4/8/2014 7:50:00|117.672|"MAN"|573535.527|151955.183
"199-D5-14"|4/8/2014 8:34:00|118.354|"MAN"|573789.632|151787.990
"199-D5-33"|4/8/2014 9:10:00|117.749|"MAN"|573095.030|151714.540
"199-D5-36"|4/8/2014 10:14:00|117.474|"MAN"|572909.823|151746.320
"199-D4-19"|4/8/2014 10:46:00|117.143|"MAN"|572559.349|151282.037
"199-D4-86"|4/8/2014 11:14:00|118.311|"MAN"|572389.064|151202.144
"699-100-43B"|4/9/2014 9:22:00|116.013|"MAN"|576675.900|154008.650
"699-101-45"|4/9/2014 10:03:00|116.489|"MAN"|576032.400|154124.170
"199-D5-37"|4/9/2014 10:55:00|117.858|"MAN"|573092.236|151916.365
"199-D8-4"|4/9/2014 11:45:00|117.533|"MAN"|573447.185|152090.212
"199-D8-101"|4/9/2014 12:41:00|117.957|"MAN"|574069.460|152262.430
"199-D5-106"|4/11/2014 8:38:00|119.001|"MAN"|573503.740|151597.970
"199-H4-6"|4/11/2014 13:10:00|115.835|"MAN"|577585.316|152888.391
"199-D2-11"|4/18/2014 7:40:00|118.313|"MAN"|573328.160|151120.730
"199-D5-34"|4/18/2014 7:41:00|117.833|"MAN"|573240.420|151554.120
"199-D4-92"|4/18/2014 7:52:00|117.511|"MAN"|572714.050|151486.310
"199-D5-145"|4/18/2014 8:47:00|117.607|"MAN"|573215.620|151396.280
"199-D5-103"|4/18/2014 8:48:00|118.902|"MAN"|573505.870|151460.870
"199-D5-17"|4/18/2014 9:02:00|119.091|"MAN"|573730.520|151322.830
"199-D4-26"|4/18/2014 9:12:00|117.515|"MAN"|572712.326|151488.878
"199-D5-106"|4/18/2014 9:13:00|119.028|"MAN"|573503.740|151597.970
"199-D5-41"|4/18/2014 9:19:00|117.988|"MAN"|573358.160|151792.191
"199-D5-147"|4/18/2014 9:26:00|117.538|"MAN"|572993.130|151380.780
"199-D5-43"|4/18/2014 9:32:00|117.989|"MAN"|573179.976|151269.430
